parameter_name,class,value_type,confidence,modal_signal,adoc_file,line_number,excerpt
PMP_MMODE_ENFORCEMENT,NORM_DIRECT,binary,high,"Optionally, PMP checks may additionally apply to M-mode accesses",machine.adoc,3349,"Optionally, PMP checks may additionally apply to M-mode accesses, in which case the PMP registers themselves are locked, so that even M-mode software cannot change them until the hart is reset."
PMPADDR_WARL_MASK,NORM_CSR_WARL,bitmask,high,Not all physical address bits may be implemented,machine.adoc,3395,"Not all physical address bits may be implemented, and so the `pmpaddr` registers are WARL."
NUM_PRIVILEGE_MODES,NORM_DIRECT,enum,high,might provide anywhere from 1 to 3 privilege modes,priv-intro.adoc,134,"Implementations might provide anywhere from 1 to 3 privilege modes trading off reduced isolation for lower implementation cost, as shown in <<norm:priv-combs-tbl>>."
DEBUG_MODE_IMPLEMENTED,NORM_DIRECT,binary,high,may also include a debug mode,priv-intro.adoc,185,Implementations may also include a debug mode to support off-chip debugging and/or manufacturing test.
MNEPC_INVALID_ADDRESS_CONVERSION,NORM_DIRECT,binary,high,implementations may convert an invalid address,rnmi.adoc,62,"Prior to writing `mnepc`, implementations may convert an invalid address into some other invalid address that `mnepc` is capable of holding."
MSECCFG_SEED_BITS_RW,NORM_CSR_RW,binary,high,"may implement `mseccfg` such that `[s,u]seed` is a read-only constant value",scalar-crypto.adoc,3750,"Implementations may implement `mseccfg` such that `[s,u]seed` is a read-only constant value `0`."
HPMEVENT_SUBSET_REPRESENTATION,NORM_DIRECT,binary,high,may represent a subset,smcdeleg.adoc,58,`hpmevent__i__` may represent a subset of the state accessed by the `mhpmevent__i__` register.
CYCLECFG_INSTRETCFG_SUBSET_REPRESENTATION,NORM_DIRECT,binary,high,may represent a subset,smcdeleg.adoc,62,"Likewise, `cyclecfg` and `instretcfg` may represent a subset of the state accessed by the `mcyclecfg` and `minstretcfg` registers, respectively."
SCTRDEPTH_SUPPORTED_VALUES,NORM_CSR_WARL,set,high,implementation-specific which DEPTH value(s) are supported,smctr.adoc,189,It is implementation-specific which DEPTH value(s) are supported.
CTRTARGET_MISP_IMPLEMENTED,NORM_CSR_RW,binary,high,The optional MISP bit,smctr.adoc,295,The optional MISP bit is set by the hardware when the recorded transfer is an instruction whose target or taken/not-taken direction was mispredicted by the branch predictor. MISP is read-only 0 when not implemented.
CTR_CYCLE_COUNTING_SUPPORTED,NORM_DIRECT,binary,high,may optionally include a count of CPU cycles,smctr.adoc,612,The `ctrdata` register may optionally include a count of CPU cycles elapsed since the prior CTR record.
CTR_CCE_WIDTH,NORM_DIRECT,range,high,may implement 0..4 exponent bits in CCE,smctr.adoc,638,"An implementation that supports cycle counting must implement CCV and all CCM bits, but may implement 0..4 exponent bits in CCE."
CTR_RASEMU_SUPPORTED,NORM_DIRECT,binary,high,When the optional `__x__ctrctl`.RASEMU bit is implemented,smctr.adoc,669,"When the optional `__x__ctrctl`.RASEMU bit is implemented and set to 1, transfer recording behavior is altered to emulate the behavior of a return-address stack (RAS)."
STATEEN_IMPLICIT_UPDATE_EXCEPTION,NORM_DIRECT,binary,high,may or may not raise an illegal-instruction or virtual-instruction exception,smstateen.adoc,103,"When a `stateen` CSR prevents access to state for a privilege mode, attempting to execute in that privilege mode an instruction that _implicitly_ updates the state without reading it may or may not raise an illegal-instruction or virtual-instruction exception."
SSTATUS_UXL_ACCESS,NORM_CSR_RW,binary,high,an implementation may make UXL be a read-only field,supervisor.adoc,134,"When SXLEN=64, it is a *WARL* field that encodes the current value of UXLEN. In particular, an implementation may make UXL be a read-only field whose value always ensures that UXLEN=SXLEN."
HINT_SXLEN_BEHAVIOR,NORM_DIRECT,binary,high,it is implementation-defined whether bits SXLEN..XLEN of the destination register are unchanged or are overwritten,supervisor.adoc,149,"When such a HINT is executed with XLEN < SXLEN and bits SXLEN..XLEN of the destination register not all equal to bit XLEN-1, it is implementation-defined whether bits SXLEN..XLEN of the destination register are unchanged or are overwritten with copies of bit XLEN-1."
SSTATUS_UBE_ACCESS,NORM_CSR_RW,binary,high,An implementation may make UBE be a read-only field,supervisor.adoc,221,An implementation may make UBE be a read-only field that always specifies the same endianness as for S-mode.
SIP_BITS_ACCESS,NORM_CSR_RW,bitmask,high,may be writable or may be read-only,supervisor.adoc,434,Each individual bit in register `sip` may be writable or may be read-only.
STANDARD_INTERRUPT_SUPPORT,NORM_CSR_RW,bitmask,high,may not be implemented,supervisor.adoc,520,"Each standard interrupt type (SEI, STI, SSI, or LCOFI) may not be implemented, in which case the corresponding interrupt-pending and interrupt-enable bits are read-only zeros."
SENVCFG_FIOM_ACCESS,NORM_CSR_RW,binary,high,the implementation may make FIOM read-only zero,supervisor.adoc,1001,"If `satp`.MODE is read-only zero (always Bare), the implementation may make FIOM read-only zero."
ZALASR_MISALIGNED_ATOMICITY_GRANULE,NORM_DIRECT,binary,high,optionally relaxes this alignment requirement,zalasr.adoc,23,"The misaligned atomicity granule PMA, defined in Volume II of this manual, optionally relaxes this alignment requirement."
ZAWRS_WRS_NTO_TW_TIMEOUT,NORM_DIRECT,value,high,implementation-specific bounded time limit,zawrs.adoc,72,"When the `TW` (Timeout Wait) bit in `mstatus` is set and `WRS.NTO` is executed in any privilege mode other than M mode, and it does not complete within an implementation-specific bounded time limit, the `WRS.NTO` instruction will cause an illegal-instruction exception."
ZAWRS_WRS_NTO_VTW_TIMEOUT,NORM_DIRECT,value,high,implementation-specific bounded time limit,zawrs.adoc,76,"When executing in VS or VU mode, if the `VTW` bit is set in `hstatus`, the `TW` bit in `mstatus` is clear, and the `WRS.NTO` does not complete within an implementation-specific bounded time limit, the `WRS.NTO` instruction will cause a virtual-instruction exception."
CSR_STRONGLY_ORDERED,NORM_DIRECT,set,high,may define that accesses to certain CSRs are strongly ordered,zicsr.adoc,244,"The hardware platform may define that accesses to certain CSRs are strongly ordered, as defined by the Memory-Ordering PMAs section in Volume II of this manual."
PM_TAG_CHECK_IMPLEMENTATION,NORM_DIRECT,binary,high,can be implemented in software or hardware,zpm.adoc,14,The tag checks themselves can be implemented in software or hardware.
